time_s,beat,phase,rate_nL_min,command,mode,message\n0.000870,0,summary,21.000000000,,pulse,bpm=140.000;requested_sv_nL=0.150000;effective_sv_nL=0.150000;requested_flow_nL_min=21.000000;effective_flow_nL_min=21.000000;requested_meanStepHz=6.743738;effective_meanStepHz=6.743738;stroke_steps=-1;stroke_adjusted=0;pulseDeliveryMode=physiology;systoleVol_nL=0.149571;diastoleRate_nL_min=0.100000;rateCompGain=1.381215;compMode=hamilton_100uL_physiology_bpm;targetBeats=70;effectiveRun_s=30.000000
10.036348,24,command,0.100000000,irate 0.100000 nl/m,pulse,
10.044424,24,command,NaN,stop,pulse,
10.293978,25,command,72.306629834,irate 72.306630 nl/m,pulse,
10.300580,25,command,NaN,run,pulse,
10.464821,25,command,0.100000000,irate 0.100000 nl/m,pulse,
10.471023,25,command,NaN,stop,pulse,
10.723313,26,command,72.306629834,irate 72.306630 nl/m,pulse,
10.730246,26,command,NaN,run,pulse,
10.893207,26,command,0.100000000,irate 0.100000 nl/m,pulse,
10.899142,26,command,NaN,stop,pulse,
11.152467,27,command,72.306629834,irate 72.306630 nl/m,pulse,
11.159351,27,command,NaN,run,pulse,
11.321972,27,command,0.100000000,irate 0.100000 nl/m,pulse,
11.328072,27,command,NaN,stop,pulse,
11.581943,28,command,72.306629834,irate 72.306630 nl/m,pulse,
11.589299,28,command,NaN,run,pulse,
11.750692,28,command,0.100000000,irate 0.100000 nl/m,pulse,
11.757058,28,command,NaN,stop,pulse,
12.007490,29,command,72.306629834,irate 72.306630 nl/m,pulse,
12.013353,29,command,NaN,run,pulse,
12.180102,29,command,0.100000000,irate 0.100000 nl/m,pulse,
12.186818,29,command,NaN,stop,pulse,
12.435914,30,command,72.306629834,irate 72.306630 nl/m,pulse,
12.441934,30,command,NaN,run,pulse,
12.607328,30,command,0.100000000,irate 0.100000 nl/m,pulse,
12.613452,30,command,NaN,stop,pulse,
12.867749,31,command,72.306629834,irate 72.306630 nl/m,pulse,
12.875820,31,command,NaN,run,pulse,
13.036468,31,command,0.100000000,irate 0.100000 nl/m,pulse,
13.042274,31,command,NaN,stop,pulse,
13.295611,32,command,72.306629834,irate 72.306630 nl/m,pulse,
13.302667,32,command,NaN,run,pulse,
13.464458,32,command,0.100000000,irate 0.100000 nl/m,pulse,
13.470191,32,command,NaN,stop,pulse,
13.723273,33,command,72.306629834,irate 72.306630 nl/m,pulse,
13.730285,33,command,NaN,run,pulse,
13.893332,33,command,0.100000000,irate 0.100000 nl/m,pulse,
13.899436,33,command,NaN,stop,pulse,
14.150309,34,command,72.306629834,irate 72.306630 nl/m,pulse,
14.157739,34,command,NaN,run,pulse,
14.322216,34,command,0.100000000,irate 0.100000 nl/m,pulse,
14.328799,34,command,NaN,stop,pulse,
14.578867,35,command,72.306629834,irate 72.306630 nl/m,pulse,
14.584761,35,command,NaN,run,pulse,
14.750576,35,command,0.100000000,irate 0.100000 nl/m,pulse,
14.756446,35,command,NaN,stop,pulse,
15.009905,36,command,72.306629834,irate 72.306630 nl/m,pulse,
15.016957,36,command,NaN,run,pulse,
15.179196,36,command,0.100000000,irate 0.100000 nl/m,pulse,
15.185605,36,command,NaN,stop,pulse,
15.445807,37,command,72.306629834,irate 72.306630 nl/m,pulse,
15.452689,37,command,NaN,run,pulse,
15.607697,37,command,0.100000000,irate 0.100000 nl/m,pulse,
15.613493,37,command,NaN,stop,pulse,
15.864488,38,command,72.306629834,irate 72.306630 nl/m,pulse,
15.870989,38,command,NaN,run,pulse,
16.051530,38,command,0.100000000,irate 0.100000 nl/m,pulse,
16.057820,38,command,NaN,stop,pulse,
16.293276,39,command,72.306629834,irate 72.306630 nl/m,pulse,
16.299448,39,command,NaN,run,pulse,
16.465147,39,command,0.100000000,irate 0.100000 nl/m,pulse,
16.471270,39,command,NaN,stop,pulse,
16.723427,40,command,72.306629834,irate 72.306630 nl/m,pulse,
16.731245,40,command,NaN,run,pulse,
